run_id,retro,hcxval,coverage_pmsy,coverage_fmsy,n_retro
0104-obsNoPF-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,0.00668425648003936,0.902815450761212,1,1,5
0105-dwfn-exeoFSTTGF-cf0.2-nalt-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,-0.0986774135881582,0.566080535215778,1,1,5
0106-au-exeoFSTTGF-cf0.2-nalt-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,-0.066220983200768,1.12275560457059,1,1,5
0107-nz-exeoFSTTGF-cf0.2-nalt-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,0.0866543317050457,2.57925481358835,1,1,5
0108-obs-exeoFSTTGF-cf0.2-nalt-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,-0.00128258958924585,0.487535987649944,1,1,5
0109-obsNoPF-exeoFSTTGF-cf0.2-nalt-qnewK-s1-o52b-o54b_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,0.00441247345269798,0.887609363953498,1,1,5
0110-dwfn-exeoFLNF-cf0.2-nb-qnewK-s1-o52b-o54b-cmb-sPb-sy1952.10-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_LN_flexsigmaC_OPT,,,,,0
0111-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s2-o52b-o54b-cmb-sPb-sy1952.10-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0112-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s3-o52b-o54b-cmb-sPb-sy1952.10-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0113-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s5-o52b-o54b-cmb-sPb-sy1952.10-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0114-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s10-o52b-o54b-cmb-sPb-sy1952.10-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0115-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b-cm2x-sPb-sy1952.10-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0116-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b-cm2xt-sPb-sy1952.10-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0117-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b-cm2xtr-sPb-sy1952.10-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0118-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b-cmb-sP0-sy1952.10-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0119-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b-cmb-sPb-sy1955.09-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0120-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b-cmb-sPb-sy1988.05-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0121-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b-cmb-sPb-sy1988.07-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0122-dwfn-exeoFSTTGF-cf0.2-nb-qnewK-s1-o52b-o54b-cmb-sPb-sy1988.09-sEn_0-bspm_estqsimple_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0123-dwfn-exeoFLNFe-cf0.2-nb-qnewK-s2-o52b-o54b-cmb-sPb-sy1952.10-sEn_0-bspm_estq_softdep_fullmvprior_x0_LN_flexsigmaC_OPT,,,,,0
0124-dwfn-exeoFSTTGFe-cf0.2-nb-qnewK-s2-o52b-o54b-cmb-sPb-sy1952.10-sEn_0-bspm_estq_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0125-dwfn-exeoFLNFe-cf0.2-nb-qnewK-s5-o52b-o54b-cmb-sPb-sy1952.10-sEn_0-bspm_estq_softdep_fullmvprior_x0_LN_flexsigmaC_OPT,,,,,0
0126-dwfn-exeoFSTTGFe-cf0.2-nb-qnewK-s5-o52b-o54b-cmb-sPb-sy1952.10-sEn_0-bspm_estq_softdep_fullmvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0127-dwfn-exeoFSTTGFestF-cf0.2-nb-qnewK-s1-o52b-o54b-cmb-sPb-sy1952.10-sEn_0-bspm_estF_softdep_mvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
0128-dwfn-exeoFSTTGFestF-cf0.2-nb-qasF-s1-o52b-o54b-cmb-sPb-sy1952.10-sEn_0-bspm_estF_softdep_mvprior_x0_sttgamma_flexsigmaC_OPT,,,,,0
