sample_id,id,logK,max_age,M_ref,L1,L2,vbk,cv_len,maturity_a,l50,weight_a,weight_b,sex_ratio,h,Lc,age1,age2,reproductive_cycle,rmax,epr_unfished_rmax,alpha,generation_time,inflection_point,amat50,shape,subsample_method,clean_index
56279,56279,14.7589336201127,15,0.257520410081774,45.2586365674015,192.569332866958,0.689118509388683,0.060787747381255,-17.7628029651204,168.979462638569,5.49224559390601e-07,3.50334217857455,0.502164923091731,0.760588260945708,128.190522203744,0,10,1,0.5293,63.2888,0.2008,6.7713,0.3943,2,1.15266504095849,Inverse Transform.D,52321
148826,148826,13.6980306245403,14,0.174239586553248,73.1201981842652,212.027001146626,0.917111525292156,0.129041189374402,-20.2415625955883,192.027001146626,5.06673766674365e-07,3.54540830863138,0.479739526413501,0.751271334646673,156.771845283572,0,10,1,0.5378,202.52,0.0597,7.3645,0.3756,2,1.04271778648037,Inverse Transform.D,138605
99205,99205,15.3488107696893,19,0.288257746982017,61.4958062277518,201.257821279854,0.780426876759032,0.083376070484519,-20.7238819363744,196.320195176834,5.93617994356193e-07,3.4242865064905,0.523860776237796,0.725727997993979,131.435817129695,0,10,1,0.5146,46.5827,0.2272,6.32,0.4125,2,1.26925168410629,Inverse Transform.D,92321
105141,105141,14.1075453886358,10,0.22545090316225,58.4355065412877,198.900960490573,0.653408085044904,0.221730781020597,-23.8380820164569,175.654495175523,5.80902660286909e-07,3.48114077789361,0.495627169224095,0.742366398051243,136.231194103535,0,10,1,0.5157,88.2389,0.1306,6.4322,0.4088,2,1.24473546523997,Inverse Transform.D,97864
1001,1001,13.8407985353737,15,0.263740591262597,51.6931155381024,209.59700458689,0.613712121879212,0.064799547707662,-18.989065883502,189.59700458689,5.33389135773829e-07,3.53390273188109,0.512656485151063,0.801159231318645,128.838976170277,0,10,1,0.5413,84.3971,0.191,7.1212,0.3807,2,1.07177208196232,Inverse Transform.D,951
190229,190229,13.8550997702772,17,0.371468931278299,53.6187249603494,234.226575402632,0.64263409227235,0.228778641251847,-23.996341560086,101.105157968452,5.28122351331367e-07,3.47321701741083,0.527658720777813,0.583370492849761,154.149026959803,0,10,1,0.5327,81.4774,0.0687,4.5747,0.4664,1,1.68089407524992,Inverse Transform.D,177078
115356,115356,12.7758317968991,13,0.250333064609977,63.7496284861252,201.163191652147,0.67854170254134,0.147121799038723,-18.3982655360555,193.150165552802,5.22028521566672e-07,3.53423071996224,0.487110998886305,0.750957873538106,127.25490665743,0,10,1,0.5241,85.4105,0.1412,6.7024,0.398,2,1.1755688720093,Inverse Transform.D,107365
156403,156403,14.256801936002,16,0.305920198346895,80.5180274395637,212.859433325074,0.661251197068569,0.0503201868850738,-32.9745331619771,160.655840233559,5.5182463459459e-07,3.48348451751113,0.542070359949114,0.641288819106688,184.512306273422,0,10,1,0.5115,85.2875,0.0838,5.3862,0.4435,2,1.49265207506502,Inverse Transform.D,145651
463571,463571,13.8843180068753,12,0.462709968110359,72.7986497506163,197.76163455048,0.583684949687905,0.0807100773788989,-24.1322668696588,123.034680870101,5.39446626982779e-07,3.42998676730938,0.512731603767938,0.535366939124078,139.960526051593,0,10,1,0.5255,27.4331,0.168,3.8952,0.499,1,1.98967261557917,Inverse Transform.D,431531
211119,211119,14.3362224782465,15,0.315262927516637,65.5794516071023,219.266429227908,0.774320013390433,0.184139303117991,-21.8039941548141,179.33589060513,5.83205649271225e-07,3.4605709401331,0.498469213300986,0.644544283106338,129.203212422655,0,10,1,0.5247,76.9925,0.0942,5.3175,0.4411,2,1.47413230315407,Inverse Transform.D,196474
372675,372675,13.1023431448078,20,0.364795225616516,41.1390084085065,232.782773748161,0.656175955651265,0.0646917439531535,-23.5035676529451,157.575544504173,5.29778431390259e-07,3.46134914162657,0.51605056040122,0.623879839664939,144.02164606232,0,10,1,0.5025,67.8514,0.0978,4.9889,0.4611,2,1.63539170583027,Inverse Transform.D,346940
449169,449169,13.1334519638384,18,0.403903752686581,82.1021532388644,197.263904706136,0.490177164523562,0.244773564022034,-21.5725274235861,177.263904706136,5.68666664189678e-07,3.48831204453183,0.512767813313039,0.648690682160743,150.890289295391,0,10,1,0.5268,31.6616,0.2333,5.0802,0.4489,2,1.53512964934319,Inverse Transform.D,418086
