year,fleet,idx,se
2005,obs,0.944567498272153,0.878326009033462
2005,obsNoPF,0.822723424714375,0.875675626016368
2005,obsPFonly,0.605926849946924,0.529246800773995
2006,au,0.939615254037585,0.878241282418046
2006,dwfn,0.740614,1.10279348635064
2006,nz,1.29408677430291,0.803522106211679
2006,obs,1.04499064005759,1.00898970542724
2006,obsNoPF,1.00832372319423,0.994618317605003
2006,obsPFonly,1.03213741322907,0.737344461499612
2007,au,0.973791862038952,0.990897178568408
2007,dwfn,0.829133,1.03676480913692
2007,nz,1.21391315674042,0.782777331583381
2007,obs,1.00668523439942,0.934057073384799
2007,obsNoPF,1.04265432069291,0.989374313509402
2007,obsPFonly,0.706844524343789,0.672857497194622
2008,au,1.04839236704194,1.03174886778199
2008,dwfn,1.047,1.02389140663845
2008,nz,0.642124478275777,1.07890458187232
2008,obs,1.0113768894489,0.882276223963721
2008,obsNoPF,1.10217850821547,0.888151511084914
2008,obsPFonly,0.933750574480467,0.662219660161647
2009,au,0.910107200036404,0.954799476446586
2009,dwfn,0.645173,1.13519294902269
2009,nz,1.29610950318637,0.830966326470646
2009,obs,0.983630622655746,0.856276064968777
2009,obsNoPF,0.928845625983789,0.833850735941425
2009,obsPFonly,0.961381877852238,0.750671535778112
2010,au,0.873976265034959,0.982698951764535
2010,dwfn,0.790723,1.11313539963459
2010,nz,0.818929371134356,0.866755470234481
2010,obs,0.94819499119161,0.943696608490353
2010,obsNoPF,0.836337870424194,0.97766164013078
2010,obsPFonly,0.736127169085484,0.586734146254209
2011,au,1.13875722904555,1.06347222824649
2011,dwfn,0.722675,1.13660866337015
2011,nz,0.910136055333894,0.809986483574605
2011,obs,0.947789325026349,1.03578044524582
2011,obsNoPF,0.884177202906906,1.15456721120625
2011,obsPFonly,0.853523933921082,1.24197818520707
2012,au,0.873735458034949,0.969419154178151
2012,dwfn,0.69595,1.1624394514216
2012,nz,0.872991397655856,0.910830770436247
2012,obs,1.03281822795092,1.24030515773782
2012,obsNoPF,1.14325983355358,1.65665044669602
2012,obsPFonly,0.987581415579034,1.76861062056872
2013,au,0.858366515034335,0.990629625455379
2013,dwfn,0.717588,1.18855818137422
2013,nz,0.999136126206023,0.838077141569864
2013,obs,0.926723313478597,1.00239210244058
2013,obsNoPF,0.96945457703526,1.25262075342028
2013,obsPFonly,0.944423687146147,0.839655452151994
2014,au,0.981717820039269,1.01097264901072
2014,dwfn,0.790042,1.16451503262592
2014,nz,0.809459322270896,1.07102979490294
2014,obs,1.0901604141645,1.34734723519098
2014,obsNoPF,1.48136145788159,1.50083678912081
2014,obsPFonly,1.27044779277776,1.9563905534127
2015,au,1.13392725404536,1.17864523823936
2015,dwfn,0.78514,1.1727453719679
2015,nz,0.615277349458977,1.17445983270975
2015,obs,0.977359970163126,0.922432512653634
2015,obsNoPF,0.87265769123013,0.685041850725873
2015,obsPFonly,NA,NA
2016,au,0.975200438039008,1.06172515438805
2016,dwfn,0.687733,1.13939810053781
2016,nz,0.970817921837619,1.00421163979706
2016,obs,1.03144365070031,1.03471297182065
2016,obsNoPF,0.959600173368729,0.741297456406266
2016,obsPFonly,0.947317413432603,1.00612303425449
2017,au,1.05350668204214,1.02188554625501
2017,dwfn,0.591417,1.05794053645267
2017,nz,0.574363060679951,1.19426433426708
2017,obs,0.946330222433549,0.807672107514451
2017,obsNoPF,0.746064877155921,0.6031398236712
2017,obsPFonly,0.66051013772797,0.630912465865837
2018,au,0.990565950039623,1.06438758686978
2018,dwfn,0.724244,1.11576886827244
2018,nz,0.60911722058663,1.3719759446806
2018,obs,1.01297241795364,0.896236203993844
2018,obsNoPF,0.736891436508072,0.57981265384942
