run_label,Year,Removals,Numbers,Depletion,Fishing mortality,D_Dmsy,F_Fmsy
0105-dwfn-alt_0,1992,23543.965157594,172163.549606952,0.501865027964852,0.124978871078328,0.867884895964168,0.75012434467429
0105-dwfn-alt_0,1993,23276.1895175803,176923.694868168,0.515328308620314,0.114918123450313,0.898203767717871,0.692336248999357
0105-dwfn-alt_0,1994,31811.0731898681,189386.205937621,0.554367310987564,0.150533487321147,0.968565030676967,0.910588713609346
0105-dwfn-alt_0,1995,29715.0442713547,197051.104753331,0.564584827609286,0.139257741852498,0.988463340458951,0.835912790412164
0105-dwfn-alt_0,1996,24820.3705379631,199052.916536505,0.577887523561136,0.111084562365894,1.00953286800703,0.664000462159389
0105-dwfn-alt_0,1997,29424.0415275883,208150.988910546,0.612813795045062,0.126840161742089,1.07106196999862,0.755078544587001
0105-dwfn-alt_0,1998,41010.629831366,214551.763773649,0.624101384766044,0.18689249852121,1.11229384109468,1.09142963195178
0105-dwfn-alt_0,1999,39007.8886277887,197847.77064823,0.586499980905153,0.192720422247502,1.0275404637856,1.14214815606721
0105-dwfn-alt_0,2000,34903.3658423584,183002.062117178,0.535771612230008,0.183006309375361,0.940322058049988,1.0794962428473
0105-dwfn-alt_0,2001,33431.2424089757,174064.087111256,0.510337082332778,0.181666027402396,0.892047177968004,1.05922719627949
0105-dwfn-alt_0,2002,36220.7307103833,169559.446226545,0.497291318481922,0.198305874253309,0.865490218517082,1.16284129388126
0105-dwfn-alt_0,2003,40184.2050876935,166196.267137386,0.485384599803164,0.226808601823333,0.844363150161112,1.33665978763906
0105-dwfn-alt_0,2004,35807.1260840878,155261.930430993,0.459462912339206,0.214659920868769,0.801362783186532,1.28274796999856
0105-dwfn-alt_0,2005,28750.5752824094,148436.247595405,0.429714907709765,0.186161261362778,0.745216514553988,1.10835366837366
0105-dwfn-alt_0,2006,25224.788768308,141915.200104997,0.410219429150956,0.167772721741987,0.710727563137935,0.992637603702711
0105-dwfn-alt_0,2007,23989.3782711018,140387.007694081,0.407084059493644,0.159286641398678,0.70702684739936,0.948358226880484
0105-dwfn-alt_0,2008,25101.9084737333,139643.99915991,0.407883625378727,0.167227340998747,0.710149052521677,0.989018108290844
0105-dwfn-alt_0,2009,26245.0613761864,135925.361530133,0.402422094204856,0.176854365219114,0.696799446282084,1.06169544200098
0105-dwfn-alt_0,2010,29085.9921911387,133644.70707254,0.390981831160349,0.204162540138412,0.684728795721042,1.21420257638729
0105-dwfn-alt_0,2011,27125.3070089499,129310.044270305,0.374533668357388,0.19710669785818,0.650776747439635,1.16670302458245
0105-dwfn-alt_0,2012,27516.3250824244,125739.047054004,0.365469441777393,0.20213488003146,0.633216104637028,1.21778857632489
0105-dwfn-alt_0,2013,22721.6840963895,122698.983598938,0.353178839230388,0.170621491950023,0.609967795672702,1.02146486667347
0105-dwfn-alt_0,2014,25331.9459940501,122909.624524569,0.356655261263861,0.187389681345908,0.617354302698804,1.1317223374381
0105-dwfn-alt_0,2015,24084.8931042081,123503.873510886,0.354771670951253,0.182177188164508,0.613361665702525,1.11405859431355
0105-dwfn-alt_0,2016,18338.3891631191,121225.39352218,0.351329670195584,0.136870186604897,0.605947709932118,0.839252081771752
0105-dwfn-alt_0,2017,18888.4113449487,126089.625862957,0.363565425894042,0.13442147274025,0.632558273004095,0.807509406025567
0105-dwfn-alt_0,2018,20320.8790784349,131602.06136012,0.378271224126362,0.136846509915594,0.662131296109667,0.815502228996292
0105-dwfn-alt_0,2019,21688.812466565,136669.663072662,0.401058266760733,0.1432332385612,0.69559919496992,0.843451306701158
0105-dwfn-alt_0,2020,21203.2514178479,141519.395125475,0.412159778407689,0.13182895069705,0.717228368349467,0.783273567248961
0105-dwfn-alt_0,2021,20163.7695366644,151554.550506167,0.444587958163315,0.11988670723738,0.767517849266542,0.713528752786531
0105-dwfn-alt_0,2022,17488.4896073343,158435.09478429,0.464459710813706,,0.808005288854205,
