run_label,Year,Removals,Numbers,Depletion,Fishing mortality,D_Dmsy,F_Fmsy
0100-dwfn-b_0,1996,24306.4803067458,175579.70635839,0.481222651565735,0.120831514401899,1.13233468498747,0.58131071111444
0100-dwfn-b_0,1997,28923.0515154563,187448.246259389,0.517208632945951,0.138767681357285,1.18745223833169,0.670570619902928
0100-dwfn-b_0,1998,40950.4408543216,192897.711546983,0.534571241111128,0.207172806478585,1.23013387990738,0.997386460523733
0100-dwfn-b_0,1999,38558.264913205,177929.014518062,0.493715539104166,0.213491749111,1.12596431544074,1.00709601479747
0100-dwfn-b_0,2000,34358.1732589255,163870.292818034,0.455325629483467,0.202486642499628,1.04496269358734,0.964470490677069
0100-dwfn-b_0,2001,33037.2500323479,154298.638126176,0.428468942387576,0.203486407319798,0.989331045967444,0.959020905171558
0100-dwfn-b_0,2002,35729.8552169397,150034.468148661,0.412306729102544,0.219511767543366,0.959062657520534,1.02758855815538
0100-dwfn-b_0,2003,39365.8903765416,147055.617153812,0.40959550204787,0.252668655402126,0.937499030575615,1.18992615857244
0100-dwfn-b_0,2004,35421.7438923485,138126.112356386,0.382124704607382,0.241043478795428,0.8780811996995,1.14584961194903
0100-dwfn-b_0,2005,28755.7231020691,130224.811964238,0.356371967681261,0.207160151671561,0.823067840992522,1.02152566708545
0100-dwfn-b_0,2006,25083.8294221963,124979.769172675,0.342497596388053,0.184736449379636,0.787550984678436,0.900853431706144
0100-dwfn-b_0,2007,24207.1078172261,123397.810527035,0.340991390201394,0.179655416886082,0.776601092454989,0.867359870448128
0100-dwfn-b_0,2008,25201.6658069627,124611.20092292,0.343451935571238,0.188732049903086,0.78618929432643,0.902280918250367
0100-dwfn-b_0,2009,26451.8419610425,122329.591008462,0.339461123750819,0.201799355313627,0.780035207463645,0.972679330303
0100-dwfn-b_0,2010,29187.7209555932,119353.77768239,0.329956492783961,0.232691721982248,0.756303130254424,1.12060024724069
0100-dwfn-b_0,2011,27202.2227024671,112515.964294161,0.315153683275293,0.219134594871934,0.718342054873024,1.06757733325613
0100-dwfn-b_0,2012,27699.788990785,110692.155306874,0.305119747196357,0.230320876911068,0.696235856529859,1.11137320827555
0100-dwfn-b_0,2013,22732.3410937652,106897.695618799,0.292864678811122,0.194367177862502,0.678034922566545,0.92804826244825
0100-dwfn-b_0,2014,25376.1439671496,108302.302754388,0.293382358196371,0.21185796657738,0.682686545731687,1.01723858704171
0100-dwfn-b_0,2015,24334.179748729,107567.171505112,0.295265998147657,0.207102231122294,0.671734573599616,1.00376810518455
0100-dwfn-b_0,2016,18559.7693789352,105231.34161848,0.290578624411256,0.158325678391971,0.672371354518096,0.758951377908567
0100-dwfn-b_0,2017,19007.1801226907,108379.346241995,0.297532734694666,0.152128814459606,0.695145886213687,0.735735803966723
0100-dwfn-b_0,2018,20443.8171218315,114813.198870286,0.314569154826866,0.153488424835325,0.731205804193094,0.741405112026766
0100-dwfn-b_0,2019,21722.0862299009,122984.95425932,0.334359191734748,0.160623523747798,0.772067929488856,0.765028972989207
0100-dwfn-b_0,2020,21335.0473998807,126111.113620409,0.343020606925896,0.148380659924761,0.802957760512718,0.706520132739372
0100-dwfn-b_0,2021,20408.1216101397,135013.170733985,0.36496018564032,0.13384284287171,0.860667287697855,0.64625954540835
0100-dwfn-b_0,2022,17488.4896073343,140956.555350306,0.38534948154209,,0.906042937284895,
